,post,response
1878,"""If you presented the Trump ‘felony case’ to John Hancock, Nathan Hale, Benjamin Franklin, Thomas Jefferson, or John Adams, they would probably laugh at you."" — Richard Luthmann loom.ly/UKRJoQ0 Investigative journalist # RichardLuthmann receives a prestigious # redcheck from # TruthSocial . In this feature, he discusses the potential impact of the # ConstitutionalFelonyDoctrine on modern felony laws and Donald Trump's case. @ rluthmann @ realDonaldTrump @ DevinNunes @ JohnnyTabacco # Trump # MAGA # Jan6 # J6 # trumptrain # Trump2024 # TrumpTrain2024 # HunterBiden # Democrats # FBI # DOJ # JamesComey # PeterStrzok # PeterStrzokLisaPage # AndrewMcCabe # AndrewMcCabeCorruption # dirtyfeds # WeThePeopleArePissed # FedUp # WeThePeopleAreFedUp # journalism",reinforce
1879,"This is actually something would straighten out our current generation. We should develope mandatory military service for all, just like Israel does. Nothing like 12 to 13 weeks of boot camp to straighten out our kids priorities and views on life .",reinforce
1880,How much time before Joe Biden pardons his son from a jail cell? We need to indite JB before he’s allowed to do that. PS: my congratulations to the jury!!,reinforce
1881,Washington Compost is quite fitting for all of Jeff Bezo’s dying idealogy in the form of those useless woke “journalists”.,reinforce
1882,Please please post this lol,reinforce
1883,"Laptop is real and was self incriminating. Two tier Justice is still alive and nobody has been charged for 2020 riot of burning, looting and killing. Now Palestine protester getting away trashed statues at the WH and insurrection going on now. Pelosi is admitting on a video she refused to have the extra help at the capital. STFU",reinforce
1884,Which it is. Mine’s flying upside down .,reinforce
1885,Joe will bring back the draft.,reinforce
1886,Remind them of this:,reinforce
1887,Compost 😂😂😂😂 Love it,reinforce
1888,"When is Sharks vs. Batteries 2, coming it out!",shift
1889,You are an idiot. You suck that propoganda and spew hate at whomever they tell you to because you lack the capacity for rational thought. You are a moron and a filthy little piece of shit nazi troll.,reinforce
1890,Only thing I’m worried about is that this was planned—like everything else this admin does—& now they’ll have an excuse to try to jail our real President,reinforce
1891,This fake news is ridiculous. The false lies the liberals put out is the reason I changed my party to Republican ten years ago! Trump 2024,reinforce
1892,"BS, he was CIC for 4 yrs",reinforce
1893,I'm still voting Donald Trump no matter if he's in jail or whatever but he's got my vote still,reinforce
1894,I think the real story is that Biden is most likely working on that right now…probably hidden inside another bill. Anything they accuse Trump of they are probably already doing. # IStandWithTrump,reinforce
1895,"Yes, and they will end her SWIFTLY!!!☠️😡",reinforce
1896,Peers? Lolbwahahahahaha bwahahahaha that was Hunters people where he grew up. Trump was in a democrat run shithole where the jury was told how to vote you punk ass bitch,reinforce
1897,"As a veteran, I know being one doesn’t automatically make you a better person. Take John Kerry for example.",reinforce
1898,Biden will be the one drafting our young men into the wars caused by his LACK OF LEADERSHIP!!,reinforce
1899,Lmao you just made my day are you sure about that where have you been?,reinforce
1900,Not true…made up charges!!,reinforce
1901,"Everything is FAKE NEWS when it is about you & negative. There are TV recordings of you calling dead soldiers losers & you cannot dispute it is you talking. You are crazy, actually you are INSANE, & you ARE going to prison. One of your cases will put you there. You lie, cheat, steal, rape women, you're an INSURRECTIONIST, a KKK loving, proud boys adoring LUNATIC!!! Your supporters, MAGA, Make America GAG again, are on mental health meds and they will forget to take them on election day and not show up to vote. President Biden is going to be the next president because we have what it will take to turn people around and Make Them Smart Again. They won't vote for you when this news comes out. Stay tuned, Looney Toons, CRAZY man, trump.",challenge
1902,Are you serious of course it was decided long before Trump sat in front of the judge,reinforce
1903,So..now what .. his daddy will pardon him and he walks..🤬🤔🤨😡,reinforce
1904,"Also, you do know Bidens actual history of racism at the highest level right? Of course you don't, CNN didn't say so 😂🤡",reinforce
1905,Fake stories are so prominent at this time. Truly disgusting...we love and stand with you President Trump ❤️,reinforce
1906,Even if he did it would do a lot of these younger people good to finally get some structure in their live.,reinforce
1907,Bull... You might want to dig a little deeper ... Sometimes what you think is one way turns out to be another. Do you think maybe just maybe a deal was struck!!! You might want to look past the lies you are being fed. Things aren't always what it seems...,reinforce
1908,Well dumb fuck just don’t vote for xiden he is the very worst president ever. Completely worthless. Ruining our country.,reinforce
1909,Given we have never met your prediction of how I choose to vote is delusional. How I choose to vote and for whom is none of you fucking business.,reinforce
1910,"Because Hunter was guilty, and it was proven. Trump was not proven guilty of any crime, but found guilty by a corrup DA, a corrupt Judge, and a corrupt jury. Big difference.",reinforce
1911,"Well moron, neither has Biden served. He got 5 deferments.",reinforce
1912,If it were only that easy Biden took money from the VA health care system andi it was used for illegals health care he also sent VA doctors and nurses to the border which took away care for veterans 🤬❤️🇺🇲,reinforce
1913,The left is really starting to grasp at straws,reinforce
1914,Please President Trump pick General Flynn as your VP.,reinforce
1915,Hilarious but fake lmaooooo,reinforce
1916,"He says ""you're incapable of video editing, so find something useful for your life, like suicide"" 😶👍",reinforce
1917,"A LESBIAN WHO SUPPORTS A GUY, AND BELONGS TO A CULT, WHO IS THE LEAST LGBQ FRIENDLY? THEY REALLY SPIKED YOUR KOOL AID.",reinforce
1918,"That's the loser Washington Post that said you wanted to build a wall with spikes on it. And you gonna put a moat with alligators? And snakes in it. And you were going to put poison Spikes on the top, so if anybody tries to climb over, they'll get pierced by the poisonous spikes, and it was kinda hilarious when you said i'm tough on the border, but i'm not that tough",reinforce
1919,Washington Post is a very FAKE NEWS. Shame on them. They are an enemy of the American people. I hope President Trump SUE WP.,reinforce
1920,"No one needs to damage you. As a 34 time Convicted Felon you do enough damage to yourself. Dropping out of the race, as you wanted Hilary to do while being investigated for felonies, is the only choice you could make to help save Democracy. Though as a psychopathic Narcissist you won’t do that. You love the spot light too much",reinforce
